time,freq,octave
0.0,A,5
0.04,GS,5
0.05,FS,4
0.06,F,4
0.08,E,4
0.13,DS,4
0.25,D,4
0.26,DS,4
0.31,D,4
0.33,DS,4
0.4,D,4
0.43,DS,4
0.49,D,4
0.5,B,4
0.52,D,4
0.56,DS,4
0.59,D,4
0.68,DS,4
0.69,B,4
0.75,D,4
0.79,DS,4
0.83,D,4
0.87,DS,4
0.92,E,4
0.97,DS,4
0.98,B,4
1.01,A,4
1.02,GS,4
1.04,G,3
1.05,FS,3
1.06,F,3
1.25,FS,3
1.27,G,3
1.28,GS,4
1.34,G,3
1.35,FS,3
1.4,G,3
1.41,GS,4
1.46,G,3
1.47,FS,3
1.49,F,3
1.52,FS,3
1.54,F,3
1.66,FS,3
1.7,F,3
1.75,G,3
1.76,A,4
1.77,B,4
1.78,D,4
1.79,DS,4
1.8,F,4
1.81,FS,4
1.84,F,4
1.88,FS,4
1.89,F,4
1.91,FS,4
1.92,F,4
1.93,FS,4
1.94,F,4
1.95,FS,4
1.98,F,4
1.99,FS,4
2.0,DS,4
2.01,D,4
2.02,B,4
2.03,AS,4
2.04,GS,4
2.26,AS,4
2.27,B,4
2.29,DS,4
2.3,FS,4
2.33,F,4
2.36,FS,4
2.38,F,4
2.39,E,4
2.4,DS,4
2.41,B,4
2.44,A,4
2.45,GS,4
2.48,A,4
2.51,GS,4
2.54,FS,3
2.56,F,3
2.57,FS,3
2.63,F,3
2.81,FS,3
2.83,F,3
2.87,FS,3
2.88,F,3
2.93,FS,3
2.95,GS,4
2.98,G,3
2.99,F,3
3.21,FS,3
3.23,F,3
3.25,FS,3
3.36,F,3
3.37,FS,3
3.38,F,3
3.54,G,3
3.55,GS,4
3.72,G,3
3.73,FS,3
3.78,F,3
3.9,G,3
3.91,GS,4
4.1,FS,3
4.11,F,3
4.3,FS,3
4.32,F,3
4.33,FS,3
4.35,F,3
4.36,FS,3
4.37,F,3
4.39,FS,3
4.43,F,3
4.44,FS,3
4.49,F,3
4.62,G,3
4.63,A,4
4.64,B,4
4.69,D,4
4.7,B,4
4.71,D,4
4.75,B,4
4.76,D,4
4.77,B,4
4.79,D,4
4.8,B,4
4.82,D,4
4.83,B,4
4.89,D,4
4.91,B,4
4.92,D,4
4.93,B,4
4.95,D,4
4.96,B,4
5.0,D,4
5.01,B,4
5.03,D,4
5.05,B,4
5.07,D,4
5.08,B,4
5.13,D,4
5.14,B,4
5.15,D,4
5.24,B,4
5.25,D,4
5.28,B,4
5.29,D,4
5.35,B,4
5.36,D,4
5.37,B,4
5.39,D,4
5.44,B,4
5.46,D,4
5.5,B,4
5.51,D,4
5.56,B,4
5.59,D,4
5.61,B,4
5.66,D,4
5.67,B,4
5.68,D,4
5.72,B,4
5.75,A,4
5.76,GS,4
5.77,F,3
5.81,FS,3
5.83,F,3
5.86,FS,3
5.87,F,3
5.93,G,3
5.94,A,4
5.95,AS,4
6.04,B,4
6.05,A,4
6.06,G,3
6.07,F,3
6.15,FS,3
6.16,F,3
6.17,G,3
6.18,A,4
6.2,GS,4
6.39,FS,3
6.4,F,3
6.42,FS,3
6.44,F,3
6.45,FS,3
6.46,F,3
6.48,FS,3
6.49,F,3
6.51,FS,3
6.53,A,4
6.54,AS,4
6.55,B,4
6.59,D,4
6.64,B,4
6.82,D,4
6.83,B,4
6.88,D,4
6.91,B,4
6.93,AS,4
6.94,GS,4
6.97,A,4
6.98,AS,4
7.02,A,4
7.05,GS,4
7.06,A,4
7.1,GS,4
7.11,F,3
7.12,E,3
7.15,DS,3
7.16,E,3
7.27,DS,3
7.3,E,3
7.31,F,3
7.32,G,3
7.47,A,4
7.48,B,4
7.51,AS,4
7.53,B,4
7.66,AS,4
7.67,B,4
8.43,AS,4
8.44,GS,4
8.45,FS,3
8.46,DS,3
8.48,E,3
8.5,DS,3
8.54,E,3
8.55,DS,3
8.61,E,3
8.62,DS,3
8.68,E,3
8.69,DS,3
8.78,E,3
8.79,DS,3
8.81,E,3
8.82,F,3
8.83,G,3
8.96,FS,3
8.97,E,3
8.98,DS,3
9.01,E,3
9.09,DS,3
9.12,E,3
9.14,DS,3
9.15,FS,3
9.16,GS,4
9.17,AS,4
9.18,B,4
10.28,AS,4
10.29,GS,4
10.3,G,3
10.45,GS,4
10.47,F,3
10.48,DS,3
10.51,E,3
10.57,DS,3
10.6,F,3
10.61,GS,4
10.62,AS,4
10.63,B,4
10.92,A,4
10.93,GS,4
10.94,FS,3
10.95,F,3
10.96,E,3
10.99,DS,3
11.02,FS,3
11.03,G,3
11.08,GS,4
11.09,G,3
11.15,GS,4
11.19,A,4
11.2,B,4
11.41,AS,4
11.42,A,4
11.43,GS,4
11.46,G,3
11.5,FS,3
11.51,F,3
11.52,E,3
11.56,DS,3
11.59,E,3
11.63,DS,3
11.65,E,3
11.7,DS,3
11.71,E,3
11.75,DS,3
11.76,E,3
11.77,DS,3
11.78,E,3
11.81,DS,3
11.83,E,3
11.87,F,3
11.88,G,3
11.92,GS,4
11.94,AS,4
11.95,B,4
11.98,DS,4
11.99,E,4
12.12,D,4
12.13,B,4
12.52,AS,4
12.53,A,4
12.54,G,3
12.7,A,4
12.71,B,4
12.94,AS,4
12.95,B,4
12.98,AS,4
12.99,B,4
13.0,AS,4
13.03,B,4
13.04,AS,4
13.05,B,4
13.07,AS,4
13.09,GS,4
13.1,FS,3
13.22,G,3
13.34,GS,4
13.57,A,4
13.65,GS,4
13.82,G,3
13.84,FS,3
13.88,G,3
13.89,GS,4
13.94,G,3
14.06,GS,4
14.2,G,3
14.25,GS,4
14.56,A,4
14.63,AS,4
15.07,B,4
15.19,AS,4
15.24,B,4
15.39,AS,4
15.46,A,4
15.5,GS,4
15.52,G,3
15.54,FS,3
15.55,F,3
15.73,FS,3
15.83,G,3
16.06,FS,3
16.08,F,3
16.09,E,3
16.11,F,3
16.14,FS,3
16.15,F,3
16.19,FS,3
16.2,F,3
16.22,G,3
16.23,A,4
16.27,GS,4
16.96,G,3
17.12,GS,4
17.13,G,3
17.26,GS,4
17.67,A,4
17.73,AS,4
18.06,B,4
18.3,D,4
18.36,DS,4
18.37,E,4
18.46,DS,4
18.47,E,4
18.5,DS,4
18.51,D,4
18.63,B,4
18.89,AS,4
